interaction_id,customer_id,channel,interaction_type,interaction_date,campaign_id,duration_seconds,outcome,source_system
INT000001,C00042,whatsapp,email_open,2022-12-10 00:00:00,,695,interested,SFDC
INT000002,C00017,email,chat,2024-01-24 00:00:00,,1568,no_response,MC
INT000003,C00048,email,visit,2022-02-26 00:00:00,CAM002,1595,not_interested,MC
INT000004,C00208,email,chat,2023-06-12 00:00:00,,1628,,LEGACY
INT000005,C00195,email,email_click,2023-11-22 00:00:00,,848,no_response,MC
INT000006,C00194,email,email_open,2023-01-08 00:00:00,CAM019,1057,not_interested,MC
INT000007,C00283,app,chat,2022-02-22 00:00:00,CAM002,1516,interested,LEGACY
INT000008,C00244,app,chat,2022-04-24 00:00:00,,1549,,LEGACY
INT000009,C00029,app,visit,2023-01-28 00:00:00,CAM002,1756,no_response,MC
INT000010,C00005,email,email_click,2023-01-10 00:00:00,,1720,not_interested,LEGACY
INT000011,C00088,whatsapp,email_click,2023-04-22 00:00:00,,826,not_interested,LEGACY
INT000012,C00043,dealership,chat,2023-09-26 00:00:00,,299,interested,SFDC
INT000013,C00256,app,email_click,2022-02-11 00:00:00,CAM009,254,no_response,SFDC
INT000014,C00223,phone,email_click,2023-01-10 00:00:00,CAM013,250,interested,LEGACY
INT000015,C00170,phone,visit,2023-01-11 00:00:00,CAM007,1653,,MC
INT000016,C00290,email,visit,2022-06-29 00:00:00,CAM013,73,,SFDC
INT000017,C00049,dealership,email_click,2023-10-26 00:00:00,CAM005,288,no_response,LEGACY
INT000018,C00271,app,chat,2023-07-27 00:00:00,CAM016,348,no_response,LEGACY
INT000019,C00022,email,email_open,2023-12-23 00:00:00,,734,not_interested,SFDC
INT000020,C00118,whatsapp,chat,2022-03-10 00:00:00,,1054,not_interested,LEGACY
INT000021,C00109,dealership,chat,2023-07-29 00:00:00,,57,interested,MC
INT000022,C00291,whatsapp,email_open,2023-12-28 00:00:00,,1601,,MC
INT000023,C00244,whatsapp,visit,2024-03-03 00:00:00,,1431,,LEGACY
INT000024,C00139,phone,chat,2022-07-29 00:00:00,,514,interested,LEGACY
INT000025,C00024,app,email_click,2022-05-22 00:00:00,CAM012,136,no_response,MC
INT000026,C00039,email,email_click,2022-12-09 00:00:00,,1419,,SFDC
INT000027,C00144,whatsapp,visit,2022-09-02 00:00:00,,1729,interested,MC
INT000028,C00279,whatsapp,visit,2023-07-07 00:00:00,,730,interested,LEGACY
INT000029,C00289,email,visit,2022-04-27 00:00:00,,909,,LEGACY
INT000030,C00017,dealership,call,2023-10-27 00:00:00,,1252,not_interested,LEGACY
INT000031,C00092,email,call,2023-05-05 00:00:00,,1540,no_response,LEGACY
INT000032,C00162,email,email_click,2024-01-26 00:00:00,,46,,MC
INT000033,C00009,app,chat,2024-02-10 00:00:00,,919,not_interested,SFDC
INT000034,C00107,phone,call,2023-08-18 00:00:00,,1013,interested,LEGACY
INT000035,C00301,whatsapp,chat,2023-12-21 00:00:00,,622,no_response,SFDC
INT000036,C00074,phone,email_open,2022-08-03 00:00:00,,607,interested,MC
INT000037,C00204,dealership,email_click,2024-02-11 00:00:00,CAM011,1025,interested,SFDC
INT000038,C00040,whatsapp,call,2024-02-02 00:00:00,,-212,,MC
INT000039,C00154,phone,email_click,2024-02-19 00:00:00,,1588,no_response,MC
INT000040,C00084,dealership,email_open,2022-08-19 00:00:00,,908,not_interested,SFDC
INT000041,C00289,app,email_open,2022-11-25 00:00:00,,537,,SFDC
INT000042,C00124,dealership,email_click,2022-12-28 00:00:00,,-15,interested,LEGACY
INT000043,C00291,phone,call,2022-10-01 00:00:00,,342,interested,LEGACY
INT000044,C00200,email,email_click,2023-05-31 00:00:00,,1523,no_response,LEGACY
INT000045,C00277,whatsapp,chat,2023-11-28 00:00:00,CAM015,1077,interested,SFDC
INT000046,C00170,app,chat,2023-03-10 00:00:00,,412,interested,MC
INT000047,C00197,phone,chat,2022-10-11 00:00:00,,540,,SFDC
INT000048,C00072,app,chat,2022-02-25 00:00:00,,605,interested,MC
INT000049,C00041,dealership,chat,2022-03-06 00:00:00,CAM005,1600,,LEGACY
INT000050,C00257,phone,email_open,2023-01-17 00:00:00,,265,no_response,MC
INT000051,C00178,email,call,2022-12-20 00:00:00,CAM008,1799,no_response,MC
INT000052,C00028,email,call,2023-04-09 00:00:00,,569,no_response,LEGACY
INT000053,C00051,email,visit,2023-05-13 00:00:00,CAM002,1465,no_response,MC
INT000054,C00224,email,email_click,2023-05-29 00:00:00,,536,,LEGACY
INT000055,C00119,whatsapp,email_open,2023-06-24 00:00:00,,1394,interested,LEGACY
